case_type,amount_due,days_overdue,npa_status,payment_history_score,total_past_defaults,failure_reason,recovered
loan,39099.95,7,SMA-0,0.5988,3,missed_emi,0
transaction,5997.41,73,SMA-2,0.6423,1,insufficient_funds,0
loan,19311.78,1,SMA-0,0.4136,1,bank_downtime,1
loan,46608.88,20,SMA-0,0.8076,0,missed_emi,0
transaction,1596.37,95,NPA,0.7059,2,bank_downtime,0
transaction,9969.87,69,SMA-2,0.3155,2,card_declined,0
transaction,18299.62,5,SMA-0,0.836,1,insufficient_funds,0
transaction,12402.08,83,SMA-2,0.8655,0,card_declined,0
loan,29588.32,42,SMA-1,0.6575,1,missed_emi,1
loan,16238.49,87,SMA-2,0.4149,2,missed_emi,0
transaction,7193.87,54,SMA-0,0.8187,2,bank_downtime,1
transaction,17114.94,64,SMA-2,0.7585,2,bank_downtime,0
transaction,11404.75,119,NPA,0.2002,4,insufficient_funds,0
transaction,10537.47,18,SMA-1,0.6562,1,card_declined,0
transaction,2441.8,57,SMA-0,0.398,2,otp_failure,0
transaction,812.55,39,SMA-1,0.8834,5,card_declined,0
loan,48365.83,3,SMA-0,0.5057,1,missed_emi,0
transaction,7851.23,1,SMA-0,0.5198,2,insufficient_funds,0
transaction,12262.65,9,SMA-0,0.2021,2,otp_failure,0
loan,8587.18,60,SMA-1,0.6329,1,missed_emi,0
transaction,13820.73,50,SMA-1,0.7772,1,insufficient_funds,1
loan,46965.5,49,SMA-1,0.7113,3,insufficient_funds,0
loan,30904.94,2,SMA-0,0.3071,5,missed_emi,0
transaction,2959.25,40,SMA-2,0.3136,3,card_declined,0
transaction,11843.57,102,NPA,0.637,0,bank_downtime,0
transaction,15443.77,33,SMA-1,0.8021,1,card_declined,1
transaction,8425.12,57,SMA-1,0.6729,1,bank_downtime,0
transaction,17656.84,77,NPA,0.4626,5,card_declined,0
loan,34190.73,78,SMA-2,0.7649,0,insufficient_funds,0
transaction,18035.35,45,SMA-1,0.5296,1,otp_failure,0
transaction,12658.35,89,NPA,0.7262,1,otp_failure,1
transaction,3060.12,32,SMA-1,0.2329,4,bank_downtime,0
loan,18936.13,95,NPA,0.8411,0,bank_downtime,1
transaction,4435.0,19,Standard,0.5584,2,card_declined,1
transaction,18222.12,22,SMA-1,0.7722,1,card_declined,1
transaction,15327.8,4,SMA-0,0.7758,1,card_declined,0
loan,35437.93,79,SMA-2,0.4933,1,insufficient_funds,0
transaction,6368.84,35,SMA-1,0.6403,2,insufficient_funds,0
loan,13282.01,18,SMA-0,0.9483,0,missed_emi,1
loan,39040.3,18,SMA-0,0.6188,1,insufficient_funds,0
transaction,9746.08,97,NPA,0.5794,3,card_declined,0
loan,15160.53,85,SMA-2,0.8722,0,missed_emi,1
transaction,12524.13,49,SMA-1,0.7102,2,card_declined,0
loan,6815.02,56,SMA-1,0.63,2,insufficient_funds,0
loan,19677.66,40,SMA-1,0.3947,1,insufficient_funds,0
transaction,9636.86,32,SMA-1,0.704,2,otp_failure,0
transaction,3385.19,100,NPA,0.4969,2,insufficient_funds,0
loan,49309.45,9,SMA-0,0.8971,1,bank_downtime,1
transaction,4577.4,35,SMA-1,0.5664,3,insufficient_funds,1
transaction,3041.89,28,SMA-0,0.5106,3,card_declined,0
transaction,4468.93,43,SMA-1,0.7648,1,card_declined,1
transaction,15496.69,39,SMA-1,0.8131,0,bank_downtime,1
loan,24147.75,45,SMA-1,0.7797,1,bank_downtime,1
transaction,11525.61,10,SMA-0,0.7932,2,card_declined,0
transaction,909.68,44,SMA-1,0.781,3,card_declined,0
transaction,1171.41,19,SMA-0,0.2084,1,insufficient_funds,1
loan,25062.15,14,SMA-1,0.4816,0,insufficient_funds,0
transaction,16424.78,4,SMA-0,0.7256,2,otp_failure,1
loan,44835.75,75,SMA-2,0.3589,3,missed_emi,0
transaction,2190.78,36,SMA-1,0.7819,1,card_declined,0
loan,29226.34,57,SMA-1,0.8036,0,bank_downtime,0
transaction,18307.98,70,SMA-2,0.3867,3,insufficient_funds,0
transaction,8065.47,63,SMA-2,0.4329,4,bank_downtime,0
transaction,16676.53,40,SMA-1,0.4558,5,bank_downtime,0
loan,11016.3,32,SMA-1,0.8112,0,insufficient_funds,0
loan,47092.75,31,SMA-1,0.4452,4,insufficient_funds,0
transaction,15152.75,59,SMA-1,0.4136,2,card_declined,0
loan,47360.05,43,SMA-1,0.7342,2,bank_downtime,0
loan,35447.78,88,SMA-2,0.6495,1,missed_emi,0
transaction,7586.38,92,NPA,0.6206,2,card_declined,0
transaction,18794.53,13,SMA-0,0.5973,2,insufficient_funds,1
transaction,5873.55,10,SMA-0,0.722,1,insufficient_funds,1
transaction,6977.36,58,SMA-2,0.5407,4,card_declined,0
loan,36536.38,24,SMA-0,0.5039,1,missed_emi,0
loan,39439.23,1,SMA-0,0.4,5,missed_emi,0
loan,46823.16,95,NPA,0.845,0,insufficient_funds,0
transaction,4493.65,18,SMA-0,0.4789,0,otp_failure,1
transaction,16060.96,103,NPA,0.1428,5,bank_downtime,0
loan,38234.57,68,SMA-2,0.5642,2,insufficient_funds,0
loan,7870.76,75,SMA-1,0.4136,2,bank_downtime,0
loan,22425.04,15,SMA-0,0.8657,0,insufficient_funds,1
loan,17724.45,18,SMA-0,0.7865,1,bank_downtime,1
loan,18702.07,45,SMA-1,0.5218,2,insufficient_funds,0
transaction,19667.46,13,SMA-0,0.4034,2,bank_downtime,1
transaction,13034.16,24,SMA-0,0.9103,0,bank_downtime,1
loan,37295.43,26,SMA-0,0.4481,2,insufficient_funds,0
loan,48947.79,12,SMA-0,0.8429,3,insufficient_funds,1
transaction,7855.43,16,SMA-0,0.8302,1,insufficient_funds,1
transaction,16135.88,78,SMA-2,0.3645,3,insufficient_funds,0
loan,24553.89,13,SMA-0,0.7118,1,insufficient_funds,0
transaction,17455.91,2,SMA-0,0.6489,1,otp_failure,0
transaction,4022.82,57,SMA-1,0.666,1,bank_downtime,1
transaction,18979.88,114,SMA-2,0.6758,1,card_declined,0
loan,14844.73,27,SMA-0,0.7991,2,missed_emi,1
loan,19679.92,9,Standard,0.7726,2,missed_emi,1
transaction,15245.75,51,SMA-1,0.3977,3,otp_failure,0
loan,22718.98,98,NPA,0.4969,2,insufficient_funds,0
transaction,12360.12,78,SMA-2,0.9049,0,card_declined,0
transaction,9169.18,57,SMA-0,0.8551,1,card_declined,0
loan,38406.65,25,SMA-0,0.8691,1,bank_downtime,0
loan,15274.91,48,SMA-1,0.1903,4,insufficient_funds,0
loan,7630.61,7,SMA-0,0.711,0,insufficient_funds,1
loan,18496.82,63,SMA-1,0.8816,1,missed_emi,0
transaction,9749.02,69,NPA,0.5984,2,card_declined,0
transaction,3776.39,111,SMA-2,0.8758,0,card_declined,0
transaction,7418.55,21,SMA-1,0.608,0,insufficient_funds,1
transaction,8299.67,1,SMA-0,0.3545,4,card_declined,0
transaction,1619.14,48,SMA-1,0.5764,2,insufficient_funds,0
loan,31248.83,67,SMA-2,0.317,4,insufficient_funds,0
transaction,17744.7,79,SMA-2,0.4797,1,insufficient_funds,0
loan,11828.43,15,SMA-0,0.3914,1,insufficient_funds,0
loan,31901.36,21,Standard,0.7951,0,missed_emi,1
loan,34913.26,44,SMA-1,0.1969,4,insufficient_funds,0
transaction,8677.03,27,SMA-0,0.6699,1,insufficient_funds,0
transaction,14171.4,90,SMA-1,0.8851,1,card_declined,0
transaction,8509.27,40,SMA-1,0.7149,2,insufficient_funds,0
transaction,10340.43,80,SMA-2,0.8646,4,insufficient_funds,0
loan,5330.89,52,SMA-1,0.8513,0,missed_emi,0
transaction,13988.54,76,SMA-2,0.8679,0,insufficient_funds,0
transaction,13396.18,27,SMA-0,0.9562,0,insufficient_funds,0
loan,6728.04,85,SMA-2,0.341,3,insufficient_funds,0
transaction,7680.88,22,SMA-0,0.4773,2,insufficient_funds,0
loan,49056.43,48,SMA-2,0.8125,1,bank_downtime,0
loan,23933.15,17,SMA-0,0.4556,1,insufficient_funds,0
loan,27587.54,41,SMA-1,0.6069,0,insufficient_funds,1
transaction,18243.64,26,SMA-1,0.8305,0,card_declined,1
transaction,14486.61,21,SMA-0,0.8988,0,insufficient_funds,1
loan,31193.16,111,NPA,0.5684,3,insufficient_funds,0
transaction,16057.19,12,SMA-0,0.8317,1,otp_failure,1
loan,43896.48,78,SMA-2,0.8381,0,missed_emi,0
loan,25559.96,116,NPA,0.6378,2,insufficient_funds,0
loan,26379.88,1,SMA-0,0.8888,0,bank_downtime,1
transaction,8027.99,66,SMA-2,0.4434,2,card_declined,0
transaction,19350.77,20,SMA-0,0.3953,2,card_declined,1
loan,36372.48,3,SMA-0,0.5198,3,insufficient_funds,0
transaction,2122.85,33,SMA-1,0.662,0,card_declined,1
transaction,17327.71,104,NPA,0.6933,1,bank_downtime,0
transaction,9870.92,0,Standard,0.5737,1,insufficient_funds,0
loan,8093.93,53,SMA-1,0.6995,1,missed_emi,0
loan,29737.28,43,SMA-1,0.9416,1,missed_emi,0
transaction,8634.7,92,NPA,0.5756,3,card_declined,0
transaction,17616.11,6,SMA-0,0.6812,2,insufficient_funds,0
loan,14179.76,64,SMA-2,0.615,3,missed_emi,0
loan,42190.91,64,SMA-2,0.9578,1,bank_downtime,1
transaction,11374.93,62,SMA-2,0.4214,2,card_declined,0
transaction,1564.9,106,NPA,0.8552,0,insufficient_funds,0
loan,48733.04,84,SMA-2,0.4606,2,bank_downtime,0
loan,28067.69,3,SMA-0,0.4958,2,insufficient_funds,0
loan,18089.46,40,SMA-1,0.3596,3,insufficient_funds,0
loan,26123.31,33,SMA-1,0.8207,1,missed_emi,0
transaction,17228.23,25,SMA-0,0.7002,0,insufficient_funds,1
transaction,6445.61,38,SMA-1,0.6275,2,insufficient_funds,0
loan,13670.44,32,SMA-1,0.8182,0,missed_emi,1
loan,10808.21,36,SMA-1,0.5582,0,missed_emi,0
loan,18403.67,115,NPA,0.7464,1,missed_emi,0
loan,40102.16,6,SMA-0,0.8848,0,insufficient_funds,1
transaction,9696.71,101,NPA,0.5392,0,bank_downtime,0
transaction,4935.89,41,SMA-1,0.4995,2,bank_downtime,0
loan,12478.32,57,SMA-1,0.6935,1,insufficient_funds,0
loan,19972.83,85,SMA-2,0.8713,0,insufficient_funds,0
loan,47296.6,29,SMA-0,0.7265,2,missed_emi,0
loan,20436.2,36,SMA-2,0.6573,1,insufficient_funds,0
loan,49465.58,34,SMA-2,0.5583,3,missed_emi,0
transaction,9961.99,31,SMA-1,0.8433,0,insufficient_funds,0
transaction,3993.7,102,SMA-2,0.7673,1,card_declined,1
transaction,17877.23,85,SMA-2,0.6371,2,insufficient_funds,0
transaction,9476.93,8,SMA-0,0.7189,2,otp_failure,0
transaction,14338.59,8,SMA-0,0.6852,2,insufficient_funds,0
transaction,19682.38,36,SMA-1,0.3032,2,insufficient_funds,0
transaction,1478.42,7,Standard,0.6761,0,card_declined,1
transaction,2385.54,56,SMA-1,0.7235,1,card_declined,1
transaction,14548.91,11,SMA-1,0.8762,0,card_declined,0
transaction,5995.59,45,SMA-1,0.7439,3,card_declined,0
transaction,4093.88,0,Standard,0.6659,1,insufficient_funds,1
loan,6771.28,25,SMA-0,0.4448,2,missed_emi,0
transaction,926.01,63,SMA-2,0.6023,1,card_declined,0
transaction,15602.47,41,SMA-1,0.1835,4,otp_failure,0
transaction,3121.45,114,NPA,0.3418,2,insufficient_funds,0
loan,26047.43,92,SMA-2,0.2552,5,missed_emi,0
transaction,12314.99,29,SMA-0,0.7181,1,card_declined,0
loan,24275.83,3,SMA-0,0.6611,2,insufficient_funds,1
transaction,1028.58,87,SMA-2,0.7787,1,insufficient_funds,0
transaction,15778.28,99,SMA-2,0.3295,4,card_declined,0
transaction,705.01,83,SMA-2,0.6045,0,card_declined,1
transaction,15356.85,9,SMA-0,0.5558,3,card_declined,0
loan,45198.7,120,NPA,0.7874,1,insufficient_funds,0
loan,24477.8,20,SMA-0,0.5619,2,missed_emi,0
loan,29099.41,69,SMA-2,0.4516,1,missed_emi,0
transaction,9801.18,98,NPA,0.8145,1,insufficient_funds,0
transaction,8089.57,18,Standard,0.8768,0,card_declined,1
loan,44934.1,99,NPA,0.5941,1,missed_emi,0
transaction,17931.7,25,SMA-0,0.2422,2,card_declined,0
transaction,7048.42,114,SMA-2,0.7429,0,bank_downtime,0
transaction,12493.86,22,SMA-0,0.4986,2,otp_failure,0
transaction,18574.7,108,NPA,0.2706,3,card_declined,0
loan,48292.63,4,SMA-0,0.4048,1,insufficient_funds,0
loan,27903.16,67,SMA-2,0.8176,0,bank_downtime,0
loan,25377.12,46,SMA-1,0.5341,2,insufficient_funds,0
transaction,5934.54,41,SMA-1,0.7042,1,card_declined,1
transaction,19198.0,17,SMA-0,0.2847,3,insufficient_funds,0
transaction,3284.88,67,SMA-2,0.6396,1,card_declined,0
transaction,11806.68,15,SMA-0,0.6036,1,otp_failure,1
transaction,6009.73,49,SMA-1,0.4165,3,card_declined,0
loan,17555.37,20,SMA-0,0.5029,0,missed_emi,0
loan,23223.59,109,NPA,0.646,2,missed_emi,0
transaction,19976.46,2,Standard,0.5559,1,insufficient_funds,1
loan,7473.48,15,SMA-0,0.5683,2,missed_emi,0
loan,31034.38,19,SMA-0,0.4041,2,bank_downtime,0
transaction,2110.16,35,SMA-1,0.2168,3,otp_failure,0
loan,11953.44,18,SMA-0,0.7683,1,insufficient_funds,0
transaction,9071.48,42,SMA-2,0.6191,2,insufficient_funds,0
transaction,10453.97,92,NPA,0.6148,1,card_declined,0
transaction,5546.45,68,SMA-2,0.6966,1,insufficient_funds,0
loan,19240.57,52,SMA-2,0.4944,0,insufficient_funds,0
transaction,2195.86,6,SMA-0,0.5177,4,bank_downtime,0
transaction,6412.79,65,SMA-2,0.3279,4,card_declined,0
transaction,19347.89,13,SMA-0,0.6339,1,bank_downtime,1
transaction,18921.79,78,SMA-2,0.1579,4,insufficient_funds,0
loan,20069.52,20,SMA-0,0.3927,3,bank_downtime,1
loan,30688.43,35,SMA-1,0.3868,3,missed_emi,0
transaction,18237.11,29,SMA-0,0.4905,2,otp_failure,1
transaction,620.58,89,SMA-2,0.305,3,insufficient_funds,0
transaction,16308.33,9,SMA-0,0.5144,0,otp_failure,1
transaction,18993.21,50,SMA-1,0.3234,5,bank_downtime,0
transaction,2280.85,11,SMA-0,0.5313,3,bank_downtime,0
transaction,3648.23,67,SMA-2,0.5974,3,card_declined,0
transaction,19234.55,98,NPA,0.4939,2,insufficient_funds,0
loan,29189.31,37,SMA-1,0.6633,1,insufficient_funds,1
loan,5638.85,42,SMA-1,0.5291,2,insufficient_funds,0
transaction,5523.82,102,NPA,0.7755,2,bank_downtime,1
transaction,9273.9,45,SMA-1,0.6418,3,card_declined,0
loan,36180.9,42,SMA-1,0.3409,2,insufficient_funds,0
transaction,14796.63,52,SMA-1,0.678,1,card_declined,0
loan,49793.97,65,SMA-2,0.4576,2,insufficient_funds,0
loan,17938.0,8,SMA-0,0.6123,1,insufficient_funds,1
transaction,10995.29,83,SMA-1,0.5601,2,insufficient_funds,0
transaction,10899.81,37,SMA-1,0.6027,0,card_declined,1
loan,23254.04,5,SMA-0,0.4804,2,missed_emi,0
transaction,3798.66,78,SMA-2,0.6071,2,card_declined,0
transaction,19560.4,31,SMA-0,0.8343,2,otp_failure,0
loan,43399.27,7,SMA-0,0.742,1,bank_downtime,1
transaction,10217.49,58,SMA-1,0.6977,1,insufficient_funds,0
transaction,12263.29,93,NPA,0.4219,2,card_declined,0
loan,15226.75,95,NPA,0.3213,4,insufficient_funds,0
transaction,11103.85,109,NPA,0.3944,3,otp_failure,0
transaction,14051.92,91,NPA,0.417,2,insufficient_funds,0
loan,28182.52,0,Standard,0.7731,3,missed_emi,0
transaction,19810.56,31,SMA-1,0.7319,2,otp_failure,0
loan,32510.37,83,SMA-1,0.8503,2,bank_downtime,0
loan,21693.82,30,SMA-0,0.2209,4,missed_emi,0
transaction,15556.96,54,SMA-1,0.6648,1,bank_downtime,1
transaction,3824.02,55,SMA-1,0.7532,2,otp_failure,1
transaction,7998.06,30,SMA-0,0.7775,1,otp_failure,1
transaction,7265.7,98,NPA,0.8522,0,insufficient_funds,0
transaction,8920.24,43,SMA-1,0.5164,2,otp_failure,1
loan,40180.09,40,SMA-1,0.0835,4,missed_emi,0
transaction,9941.37,120,NPA,0.3891,3,insufficient_funds,0
transaction,15983.28,42,SMA-1,0.5645,4,insufficient_funds,0
loan,30942.0,14,SMA-0,0.4115,0,missed_emi,0
transaction,7170.35,44,SMA-1,0.2351,5,insufficient_funds,0
loan,41449.04,82,SMA-2,0.8772,0,missed_emi,0
transaction,5146.65,77,SMA-2,0.7365,1,card_declined,0
transaction,4875.47,78,SMA-1,0.5834,2,otp_failure,1
loan,27702.63,67,SMA-2,0.5078,2,insufficient_funds,0
loan,16738.22,20,SMA-0,0.647,1,insufficient_funds,0
loan,5408.92,90,SMA-2,0.6767,4,bank_downtime,0
loan,34173.39,96,SMA-2,0.8007,1,insufficient_funds,0
loan,27999.22,15,SMA-0,0.5519,3,missed_emi,0
transaction,9187.6,10,SMA-0,0.5035,1,card_declined,0
transaction,19355.89,114,NPA,0.8711,0,otp_failure,0
loan,30703.96,91,NPA,0.697,3,insufficient_funds,0
loan,43854.42,96,NPA,0.6786,1,insufficient_funds,0
loan,11275.26,94,NPA,0.6592,0,bank_downtime,0
transaction,11599.53,48,SMA-1,0.6778,1,card_declined,0
transaction,17425.6,59,SMA-1,0.562,4,otp_failure,0
loan,31239.76,48,SMA-1,0.5719,2,missed_emi,0
transaction,14501.28,3,Standard,0.5884,2,card_declined,1
loan,21741.96,72,SMA-2,0.2804,3,missed_emi,0
loan,9160.23,44,SMA-1,0.8504,2,insufficient_funds,0
transaction,9429.06,60,SMA-1,0.2434,1,insufficient_funds,0
loan,22751.57,43,SMA-1,0.7989,0,insufficient_funds,1
loan,44017.71,42,SMA-1,0.6167,0,missed_emi,0
transaction,5257.91,13,SMA-0,0.7495,0,otp_failure,1
loan,48503.04,22,SMA-0,0.2172,3,insufficient_funds,0
transaction,19183.69,12,SMA-0,0.7867,1,insufficient_funds,1
loan,16143.42,15,SMA-0,0.5166,2,missed_emi,0
transaction,7287.01,113,SMA-2,0.6506,1,card_declined,0
loan,45300.01,11,SMA-0,0.4045,2,missed_emi,0
transaction,19349.13,21,SMA-0,0.4751,4,insufficient_funds,0
transaction,9147.06,53,SMA-1,0.6412,0,otp_failure,0
loan,19444.87,55,SMA-1,0.7832,1,missed_emi,1
transaction,10758.83,12,SMA-0,0.4696,2,insufficient_funds,1
transaction,13911.5,79,SMA-2,0.45,2,bank_downtime,0
loan,17306.35,78,SMA-2,0.9146,1,missed_emi,0
loan,38141.29,19,Standard,0.4769,3,missed_emi,0
transaction,1507.32,23,SMA-0,0.6051,1,card_declined,0
loan,7218.25,105,NPA,0.632,2,missed_emi,0
transaction,8032.61,84,SMA-2,0.8462,1,insufficient_funds,0
transaction,7392.73,66,SMA-2,0.881,0,insufficient_funds,0
transaction,6654.85,6,SMA-0,0.9099,0,insufficient_funds,1
loan,27095.89,35,SMA-1,0.7306,1,missed_emi,0
loan,19433.01,49,SMA-1,0.5945,4,insufficient_funds,0
loan,13651.61,14,SMA-0,0.7884,1,insufficient_funds,1
loan,18926.13,38,SMA-1,0.7426,1,insufficient_funds,0
transaction,19510.63,54,SMA-1,0.5328,3,card_declined,0
transaction,8516.71,26,SMA-0,0.8467,0,card_declined,0
transaction,9171.9,77,NPA,0.6793,1,bank_downtime,0
transaction,11742.63,86,SMA-2,0.2698,1,otp_failure,0
transaction,19675.14,26,SMA-0,0.4748,0,insufficient_funds,0
loan,15872.06,86,SMA-2,0.6705,1,insufficient_funds,0
transaction,13785.0,8,Standard,0.8151,1,otp_failure,1
transaction,14461.7,86,SMA-2,0.7136,0,card_declined,0
transaction,12342.83,11,SMA-0,0.8662,1,card_declined,1
loan,8986.03,6,SMA-1,0.5034,1,insufficient_funds,0
loan,35459.25,59,SMA-1,0.6187,1,missed_emi,0
transaction,1749.85,40,SMA-1,0.7919,1,bank_downtime,1
transaction,12124.78,98,NPA,0.6659,2,otp_failure,0
loan,38281.15,30,SMA-0,0.5204,3,missed_emi,0
transaction,4613.91,23,SMA-0,0.348,1,insufficient_funds,1
